VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2019-02-13T05:28:50Z,2019-02-13T12:52:04Z,2,12.98,1,N,132,265,1,35.5,0,0.5,13,0,0.3,49.3,,
2,2019-01-06T04:12:54Z,2019-01-06T04:17:12Z,1,1.68,1,N,163,68,2,6.5,0.5,0.5,0,0,0.3,7.8,,
2,2019-01-06T03:21:07Z,2019-01-06T03:25:41Z,1,1.16,1,N,230,186,2,6,0.5,0.5,0,0,0.3,7.3,,
2,2019-01-06T02:50:20Z,2019-01-06T02:55:06Z,1,0.6,1,N,230,48,2,5,0.5,0.5,0,0,0.3,6.3,,
2,2019-01-06T02:38:02Z,2019-01-06T02:43:08Z,1,1.14,1,N,48,100,2,6,0.5,0.5,0,0,0.3,7.3,,
2,2019-01-06T02:23:29Z,2019-01-06T02:28:07Z,1,0.99,1,N,230,68,2,5.5,0.5,0.5,0,0,0.3,6.8,,
2,2019-01-06T01:56:21Z,2019-01-06T02:06:00Z,1,1.88,1,N,113,68,1,9,0.5,0.5,2.06,0,0.3,12.36,,
2,2019-01-06T01:51:22Z,2019-01-06T01:54:54Z,1,0.41,1,N,79,113,1,4,0.5,0.5,1.06,0,0.3,6.36,,
2,2019-01-06T01:36:23Z,2019-01-06T01:42:29Z,1,1.04,1,N,237,233,1,6.5,0.5,0.5,1.56,0,0.3,9.36,,
2,2019-01-06T01:15:34Z,2019-01-06T01:21:10Z,1,1.09,1,N,161,237,1,6,0.5,0.5,1.46,0,0.3,8.76,,
2,2019-01-06T01:03:37Z,2019-01-06T01:13:58Z,1,2.01,1,N,141,161,1,9.5,0.5,0.5,2.16,0,0.3,12.96,,
2,2019-01-06T00:52:11Z,2019-01-06T00:55:30Z,1,0.88,1,N,263,141,1,5,0.5,0.5,1.26,0,0.3,7.56,,
2,2019-01-06T00:38:55Z,2019-01-06T00:49:16Z,1,3.43,1,N,48,263,1,11.5,0.5,0.5,2.56,0,0.3,15.36,,
2,2019-01-06T00:32:05Z,2019-01-06T00:36:54Z,1,0.75,1,N,142,48,2,4.5,0.5,0.5,0,0,0.3,5.8,,
2,2019-01-06T00:03:42Z,2019-01-06T00:26:01Z,1,5.8,1,N,231,239,1,21,0.5,0.5,2.23,0,0.3,26.48,,
2,2019-01-05T23:04:37Z,2019-01-05T23:09:42Z,1,0.77,1,N,151,151,1,5.5,0.5,0.5,1.36,0,0.3,8.16,,
2,2019-01-05T22:56:01Z,2019-01-05T23:06:05Z,1,6.31,1,N,260,92,1,18.5,0.5,0.5,10,0,0.3,29.8,,
2,2019-01-05T22:53:31Z,2019-01-05T23:02:36Z,1,2.11,1,N,263,151,1,9.5,0.5,0.5,2.16,0,0.3,12.96,,
2,2019-01-05T22:36:11Z,2019-01-05T22:52:02Z,2,4.14,1,N,162,226,1,15.5,0.5,0.5,3.36,0,0.3,20.16,,
2,2019-01-05T22:29:51Z,2019-01-05T22:47:56Z,1,4.69,1,N,113,263,1,16.5,0.5,0.5,3.56,0,0.3,21.36,,